Front,Back,Tags
"[Cybersecurity] What is reconnaissance in attack strategies?","The process of gathering information about an organization.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of reconnaissance as an atomic fact, focusing on the overarching concept from the source text to build foundational understanding.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity reconnaissance attack-strategy open-ended"
"[Cybersecurity] An attacker scans a company's servers to identify the models and specifications of their firewalls and routers. What type of reconnaissance information is being gathered?","System hardware information.<hr>Metadata: Scenario question<br>Rationale: Tests application of reconnaissance concepts by identifying system hardware information in a practical scanning scenario, using a vivid example to reinforce recall without requiring enumeration of all types.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity reconnaissance attack-strategy open-ended scenario"
"[Cybersecurity] An attacker maps out how a target's computers are connected, including IP ranges and subnet details. What type of reconnaissance information is being gathered?","Network configuration.<hr>Metadata: Scenario question<br>Rationale: Tests application of reconnaissance concepts by identifying network configuration in a mapping scenario, providing a clear, relatable context to aid retention and avoid guessing among multiple types.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity reconnaissance attack-strategy open-ended scenario"
"[Cybersecurity] An attacker collects employee emails, job titles, and contact details from public sources to target them later. What type of reconnaissance information is being gathered?","Individual user information.<hr>Metadata: Scenario question<br>Rationale: Tests application of reconnaissance concepts by identifying individual user information in a social engineering prep scenario, using an engaging, real-world example to promote understanding without implying a complete list.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity reconnaissance attack-strategy open-ended scenario"
"[Cybersecurity] What does a technical approach in attack strategies involve?","Using software or utilities.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core action of a technical approach as an atomic fact, isolating the tools used from the broader definition for simplicity.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity technical-approach attack-strategy open-ended"
"[Cybersecurity] What is the goal of a technical approach in attack strategies?","To find vulnerabilities in a system.<hr>Metadata: Concept question<br>Rationale: Tests recall of the primary objective of a technical approach as an atomic fact, focusing on the purpose to enhance retention without overloading with tools or methods.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity technical-approach attack-strategy open-ended"
"[Cybersecurity] An attacker uses a tool to check which ports are open on a company's servers. What technical approach method is this?","Port scan.<hr>Metadata: Scenario question<br>Rationale: Tests recall of port scan as a specific method of a technical approach, using a vivid scenario to reinforce application and ensure atomicity, avoiding ambiguity of multiple examples.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity technical-approach attack-strategy open-ended scenario"
"[Cybersecurity] What type of attack strategy uses software or utilities to find vulnerabilities?","Technical approach.<hr>Metadata: Concept question<br>Rationale: Tests recall of the term ""technical approach"" by describing its key characteristics, promoting bidirectional understanding and reducing interference with similar strategies like social engineering.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity technical-approach attack-strategy open-ended"
"[Cybersecurity] An attacker sends packets to detect active devices on a network. What technical approach method is this?","Ping sweep.<hr>Metadata: Scenario question<br>Rationale: Tests recall of ping sweep as a specific method of a technical approach, using a relatable scenario to promote retention and maintain atomicity, preventing overlap with port scan.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity technical-approach attack-strategy open-ended scenario"
"[Cybersecurity] What is a system breach in attack strategies?","The penetration of system defenses.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of a system breach as an atomic fact, focusing on a key attack strategy from the source text to build foundational understanding.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity system-breach attack-strategy open-ended"
"[Cybersecurity] What is privilege escalation in attack strategies?","Gaining higher access rights to control a system.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of privilege escalation as an atomic fact, simplified from the source text’s description to focus on the primary objective for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity privilege-escalation attack-strategy open-ended"
"[Cybersecurity] What is staging a computer in attack strategies?","Preparing a computer to perform additional attack tasks.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of staging a computer as an atomic fact, simplified from the source text’s description to focus on the primary purpose for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity staging-computer attack-strategy open-ended"
"[Cybersecurity] What does staging a computer often involve in attack strategies?","Installing software to attack other systems.<hr>Metadata: Concept question<br>Rationale: Tests recall of a key action in staging a computer, isolated as an atomic fact from the source text for clarity.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity staging-computer attack-strategy open-ended"
"[Cybersecurity] What is defense in depth?","Using multiple security layers.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of defense in depth as an atomic fact, simplified to focus on the concept of multiple layers for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity defense-in-depth defense-methodology open-ended"
"[Cybersecurity] What term describes using multiple security layers to protect assets?","Defense in depth.<hr>Metadata: Concept question<br>Rationale: Tests recall of the term “defense in depth” by describing its core characteristic, promoting bidirectional understanding and reducing interference with other methodologies.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity defense-in-depth defense-methodology open-ended"
"[Cybersecurity] What is the principle of least privilege?","Granting only necessary access for tasks.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of the principle of least privilege as an atomic fact, simplified from the source text for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity least-privilege defense-methodology open-ended"
"[Cybersecurity] What term describes granting only necessary access for tasks?","Principle of least privilege.<hr>Metadata: Concept question<br>Rationale: Tests recall of the term “principle of least privilege” by describing its core characteristic, promoting bidirectional understanding and reducing interference with other methodologies.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity least-privilege defense-methodology open-ended"
"[Cybersecurity] What does the variety methodology emphasize in defense strategies?","Using diverse security methods.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core concept of the variety methodology as an atomic fact, simplified from the source text for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity variety defense-methodology open-ended"
"[Cybersecurity] What term describes using diverse security methods to protect assets?","Variety.<hr>Metadata: Concept question<br>Rationale: Tests recall of the term “variety” by describing its core characteristic, promoting bidirectional understanding and reducing interference with other defense methodologies.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity variety defense-methodology open-ended"
"[Cybersecurity] What is randomness in defense methodologies?","Constantly changing habits and passwords.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of randomness as an atomic fact, simplified from the source text to focus on key actions for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity randomness defense-methodology open-ended"
"[Cybersecurity] What term describes constantly changing habits and passwords to prevent predictable behavior?","Randomness.<hr>Metadata: Concept question<br>Rationale: Tests recall of the term “randomness” by describing its core characteristic, promoting bidirectional understanding and reducing interference with other defense methodologies.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity randomness defense-methodology open-ended"
"[Cybersecurity] What is simplicity in defense methodologies?","Using protection that is easy to understand and use.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core definition of simplicity as an atomic fact, simplified from the source text to focus on usability for clarity and retention.<br>Reference: Section::2.1.5","Section::2.1.5 cybersecurity simplicity defense-methodology open-ended"
