Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-201</span> Which are categories of security controls by implementation? (CHOOSE FOUR)","<li>A. Managerial</li><li>B. Preventive</li><li>C. Operational</li><li>D. Detective</li><li>E. Technical</li><li>F. Corrective</li><li>G. Physical</li>","<li class=""correct"">A. Managerial</li><li>B. Preventive</li><li class=""correct"">C. Operational</li><li>D. Detective</li><li class=""correct"">E. Technical</li><li>F. Corrective</li><li class=""correct"">G. Physical</li>","A, C, E, G<hr>Why correct: Managerial, Operational, Technical, and Physical are the four implementation categories of security controls, addressing oversight, people-based procedures, system-based safeguards, and hardware-based protection, respectively.<br>Why incorrect: Preventive, Detective, and Corrective are functional types, not implementation categories.<br>Rationale: Tests recall of all implementation categories, distinguished from functional types, with plausible distractors.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-202</span> Which are categories of security controls by implementation? (CHOOSE FOUR)","<li>A. Compliance</li><li>B. Managerial</li><li>C. Deterrent</li><li>D. Operational</li><li>E. Directive</li><li>F. Technical</li><li>G. Physical</li>","<li>A. Compliance</li><li class=""correct"">B. Managerial</li><li>C. Deterrent</li><li class=""correct"">D. Operational</li><li>E. Directive</li><li class=""correct"">F. Technical</li><li class=""correct"">G. Physical</li>","B, D, F, G<hr>Why correct: Managerial, Operational, Technical, and Physical are the four implementation categories of security controls, addressing oversight, people-based procedures, system-based safeguards, and hardware-based protection, respectively.<br>Why incorrect: Compliance is a regulatory requirement, Deterrent and Directive are functional types, not implementation categories.<br>Rationale: Tests recall of all implementation categories, distinguished from functional types, with plausible distractors.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-203</span> Which are categories of security controls by implementation? (CHOOSE FOUR)","<li>A. Monitoring</li><li>B. Managerial</li><li>C. Governance</li><li>D. Operational</li><li>E. Compensating</li><li>F. Technical</li><li>G. Physical</li>","<li>A. Monitoring</li><li class=""correct"">B. Managerial</li><li>C. Governance</li><li class=""correct"">D. Operational</li><li>E. Compensating</li><li class=""correct"">F. Technical</li><li class=""correct"">G. Physical</li>","B, D, F, G<hr>Why correct: Managerial, Operational, Technical, and Physical are the four implementation categories of security controls, addressing oversight, people-based procedures, system-based safeguards, and hardware-based protection, respectively.<br>Why incorrect: Monitoring is a process, Governance relates to oversight but is not a category, and Compensating is a functional type.<br>Rationale: Tests recall of all implementation categories, distinguished from functional types, with plausible distractors.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-204</span> Which are functional types of security controls? (CHOOSE FOUR)","<li>A. Preventive</li><li>B. Detective</li><li>C. Corrective</li><li>D. Managerial</li><li>E. Deterrent</li><li>F. Compliance</li><li>G. Compensating</li>","<li class=""correct"">A. Preventive</li><li class=""correct"">B. Detective</li><li class=""correct"">C. Corrective</li><li>D. Managerial</li><li class=""correct"">E. Deterrent</li><li>F. Compliance</li><li>G. Compensating</li>","A, B, C, E<hr>Why correct: Preventive, Detective, Corrective, and Deterrent are four of the six functional types of security controls, addressing attack prevention, intrusion detection, incident recovery, and discouraging attacks, respectively.<br>Why incorrect: Managerial is an implementation category, Compliance is a regulatory requirement, and Compensating is a functional type but not selected here to test recall of a subset.<br>Rationale: Tests recall of four functional types with plausible distractors from implementation categories and related concepts.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-205</span> Which are functional types of security controls? (CHOOSE FOUR)","<li>A. Monitoring</li><li>B. Preventive</li><li>C. Detective</li><li>D. Corrective</li><li>E. Governance</li><li>F. Directive</li><li>G. Deterrent</li>","<li>A. Monitoring</li><li class=""correct"">B. Preventive</li><li class=""correct"">C. Detective</li><li class=""correct"">D. Corrective</li><li>E. Governance</li><li>F. Directive</li><li class=""correct"">G. Deterrent</li>","B, C, D, G<hr>Why correct: Preventive, Detective, Corrective, and Deterrent are four of the six functional types of security controls, addressing attack prevention, intrusion detection, incident recovery, and discouraging attacks, respectively.<br>Why incorrect: Monitoring is a process, Governance relates to oversight, and Directive is a functional type but not selected here.<br>Rationale: Tests recall of four functional types with plausible distractors from related concepts.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-206</span> Which are functional types of security controls? (CHOOSE FOUR)","<li>A. Preventive</li><li>B. Operational</li><li>C. Detective</li><li>D. Corrective</li><li>E. Technical</li><li>F. Deterrent</li><li>G. Auditing</li>","<li class=""correct"">A. Preventive</li><li>B. Operational</li><li class=""correct"">C. Detective</li><li class=""correct"">D. Corrective</li><li>E. Technical</li><li class=""correct"">F. Deterrent</li><li>G. Auditing</li>","A, C, D, F<hr>Why correct: Preventive, Detective, Corrective, and Deterrent are four of the six functional types of security controls, addressing attack prevention, intrusion detection, incident recovery, and discouraging attacks, respectively.<br>Why incorrect: Operational and Technical are implementation categories, and Auditing is a process.<br>Rationale: Tests recall of four functional types with plausible distractors from implementation categories and related concepts.<br>Metadata: Multiple-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-controls multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-207</span> Which role is responsible for implementing security policies and controls?","<li>A. Chief Information Officer</li><li>B. Chief Technology Officer</li><li>C. Information Systems Security Officer</li><li>D. Chief Security Officer</li>","<li>A. Chief Information Officer</li><li>B. Chief Technology Officer</li><li class=""correct"">C. Information Systems Security Officer</li><li>D. Chief Security Officer</li>","C<hr>Why correct: The Information Systems Security Officer is responsible for implementing security policies and controls, focusing on operational security tasks.<br>Why incorrect: The Chief Information Officer manages IT assets, the Chief Technology Officer focuses on new computing platforms, and the Chief Security Officer oversees overall security strategy, not direct implementation.<br>Rationale: Tests recall of the Information Systems Security Officer’s role with distractors from related senior roles.<br>Metadata: Single-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-roles multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-208</span> Which role is responsible for implementing security policies and controls?","<li>A. Systems Administrator</li><li>B. Information Systems Security Officer</li><li>C. Network Administrator</li><li>D. Security Analyst</li>","<li>A. Systems Administrator</li><li class=""correct"">B. Information Systems Security Officer</li><li>C. Network Administrator</li><li>D. Security Analyst</li>","B<hr>Why correct: The Information Systems Security Officer is responsible for implementing security policies and controls, focusing on operational security tasks.<br>Why incorrect: Systems and Network Administrators manage infrastructure, and Security Analysts monitor threats, not specifically implement policies.<br>Rationale: Tests recall of the Information Systems Security Officer’s role with distractors from technical roles.<br>Metadata: Single-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-roles multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-209</span> Which role is responsible for implementing security policies and controls?","<li>A. Chief Information Security Officer</li><li>B. IT Manager</li><li>C. Compliance Officer</li><li>D. Information Systems Security Officer</li>","<li>A. Chief Information Security Officer</li><li>B. IT Manager</li><li>C. Compliance Officer</li><li class=""correct"">D. Information Systems Security Officer</li>","D<hr>Why correct: The Information Systems Security Officer is responsible for implementing security policies and controls, focusing on operational security tasks.<br>Why incorrect: The Chief Information Security Officer sets security strategy, the IT Manager oversees IT operations, and the Compliance Officer ensures regulatory adherence, not direct implementation.<br>Rationale: Tests recall of the Information Systems Security Officer’s role with distractors from related managerial roles.<br>Metadata: Single-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity security-roles multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-210</span> What is the primary function of access control lists (ACLs) on firewalls?","<li>A. To detect unauthorized access</li><li>B. To restore data after incidents</li><li>C. To block unauthorized access</li><li>D. To monitor network traffic</li>","<li>A. To detect unauthorized access</li><li>B. To restore data after incidents</li><li class=""correct"">C. To block unauthorized access</li><li>D. To monitor network traffic</li>","C<hr>Why correct: Access control lists (ACLs) on firewalls are configured to block unauthorized access, serving as a preventive technical control.<br>Why incorrect: Detecting unauthorized access is a detective function (e.g., logs), restoring data is corrective (e.g., backups), and monitoring traffic is detective (e.g., intrusion detection systems).<br>Rationale: Tests recall of ACLs' function with distractors from other control types.<br>Metadata: Single-correct<br>Source: Section::1.2.2","Section::1.2.2 cybersecurity access-control multiple-choice instance-1"
